




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cellular nitrogen compound catabolic process (GO:0044270)	31	2	.26	+	7.67	3.02E-02	1.00E00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	16	1	.13	+	7.43	1.33E-01	1.00E00
purine nucleoside diphosphate metabolic process (GO:0009135)	16	1	.13	+	7.43	1.33E-01	1.00E00
sulfur compound transport (GO:0072348)	16	1	.13	+	7.43	1.33E-01	1.00E00
cellular macromolecule catabolic process (GO:0044265)	16	1	.13	+	7.43	1.33E-01	1.00E00
amino acid transport (GO:0006865)	16	1	.13	+	7.43	1.33E-01	1.00E00
cell communication (GO:0007154)	132	8	1.11	+	7.21	1.19E-05	2.22E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	17	1	.14	+	6.99	1.40E-01	1.00E00
anion transport (GO:0006820)	51	3	.43	+	6.99	9.73E-03	1.00E00
nucleoside diphosphate phosphorylation (GO:0006165)	18	1	.15	+	6.61	1.47E-01	1.00E00
monosaccharide metabolic process (GO:0005996)	18	1	.15	+	6.61	1.47E-01	1.00E00
nucleotide phosphorylation (GO:0046939)	18	1	.15	+	6.61	1.47E-01	1.00E00
organic acid transport (GO:0015849)	20	1	.17	+	5.94	1.62E-01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	21	1	.18	+	5.66	1.69E-01	1.00E00
signaling (GO:0023052)	113	5	.95	+	5.26	2.55E-03	7.98E-01
signal transduction (GO:0007165)	113	5	.95	+	5.26	2.55E-03	6.84E-01
phosphorelay signal transduction system (GO:0000160)	91	4	.77	+	5.23	7.36E-03	1.00E00
intracellular signal transduction (GO:0035556)	94	4	.79	+	5.06	8.20E-03	1.00E00
response to external stimulus (GO:0009605)	49	2	.41	+	4.85	6.66E-02	1.00E00
inorganic ion transmembrane transport (GO:0098660)	74	3	.62	+	4.82	2.52E-02	9.66E-01
pyruvate metabolic process (GO:0006090)	25	1	.21	+	4.76	1.96E-01	1.00E00
carbohydrate catabolic process (GO:0016052)	25	1	.21	+	4.76	1.96E-01	1.00E00
macromolecule catabolic process (GO:0009057)	30	1	.25	+	3.96	2.30E-01	1.00E00
ion transmembrane transport (GO:0034220)	95	3	.80	+	3.75	4.67E-02	1.00E00
protein transport (GO:0015031)	32	1	.27	+	3.72	2.42E-01	1.00E00
establishment of protein localization (GO:0045184)	32	1	.27	+	3.72	2.42E-01	1.00E00
cellular response to stimulus (GO:0051716)	193	6	1.62	+	3.70	5.11E-03	1.00E00
protein maturation (GO:0051604)	33	1	.28	+	3.60	2.49E-01	1.00E00
protein localization (GO:0008104)	33	1	.28	+	3.60	2.49E-01	1.00E00
peptidyl-amino acid modification (GO:0018193)	34	1	.29	+	3.50	2.55E-01	1.00E00
nitrogen compound transport (GO:0071705)	69	2	.58	+	3.45	1.17E-01	1.00E00
regulation of transcription, DNA-templated (GO:0006355)	109	3	.92	+	3.27	6.48E-02	1.00E00
regulation of nucleic acid-templated transcription (GO:1903506)	110	3	.93	+	3.24	6.62E-02	1.00E00
regulation of RNA metabolic process (GO:0051252)	110	3	.93	+	3.24	6.62E-02	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	110	3	.93	+	3.24	6.62E-02	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	111	3	.93	+	3.21	6.76E-02	1.00E00
dephosphorylation (GO:0016311)	37	1	.31	+	3.21	2.74E-01	1.00E00
regulation of cellular process (GO:0050794)	233	6	1.96	+	3.06	1.23E-02	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	119	3	1.00	+	3.00	7.94E-02	1.00E00
regulation of cellular macromolecule biosynthetic process (GO:2000112)	119	3	1.00	+	3.00	7.94E-02	1.00E00
regulation of biosynthetic process (GO:0009889)	119	3	1.00	+	3.00	7.94E-02	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	119	3	1.00	+	3.00	7.94E-02	1.00E00
organic substance catabolic process (GO:1901575)	120	3	1.01	+	2.97	8.10E-02	1.00E00
regulation of primary metabolic process (GO:0080090)	121	3	1.02	+	2.95	8.25E-02	1.00E00
regulation of nitrogen compound metabolic process (GO:0051171)	122	3	1.03	+	2.92	8.41E-02	1.00E00
regulation of gene expression (GO:0010468)	122	3	1.03	+	2.92	8.41E-02	1.00E00
ATP metabolic process (GO:0046034)	41	1	.34	+	2.90	2.98E-01	1.00E00
phosphorylation (GO:0016310)	124	3	1.04	+	2.88	8.73E-02	1.00E00
response to stimulus (GO:0050896)	249	6	2.09	+	2.86	1.66E-02	1.00E00
catabolic process (GO:0009056)	125	3	1.05	+	2.85	8.89E-02	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	126	3	1.06	+	2.83	9.05E-02	1.00E00
regulation of cellular metabolic process (GO:0031323)	127	3	1.07	+	2.81	9.21E-02	1.00E00
regulation of biological process (GO:0050789)	257	6	2.16	+	2.78	1.91E-02	1.00E00
regulation of metabolic process (GO:0019222)	132	3	1.11	+	2.70	1.00E-01	1.00E00
transmembrane transport (GO:0055085)	222	5	1.87	+	2.68	3.72E-02	1.00E00
cellular catabolic process (GO:0044248)	89	2	.75	+	2.67	1.75E-01	1.00E00
organic substance transport (GO:0071702)	91	2	.77	+	2.61	1.81E-01	1.00E00
ion transport (GO:0006811)	141	3	1.19	+	2.53	1.16E-01	1.00E00
macromolecule localization (GO:0033036)	48	1	.40	+	2.48	3.39E-01	1.00E00
DNA repair (GO:0006281)	48	1	.40	+	2.48	3.39E-01	1.00E00
biological regulation (GO:0065007)	292	6	2.46	+	2.44	3.31E-02	1.00E00
cellular response to DNA damage stimulus (GO:0006974)	54	1	.45	+	2.20	3.71E-01	1.00E00
nucleotide metabolic process (GO:0009117)	109	2	.92	+	2.18	2.36E-01	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	111	2	.93	+	2.14	2.43E-01	1.00E00
establishment of localization (GO:0051234)	285	5	2.40	+	2.09	8.85E-02	1.00E00
transport (GO:0006810)	285	5	2.40	+	2.09	8.85E-02	1.00E00
DNA metabolic process (GO:0006259)	115	2	.97	+	2.07	2.55E-01	1.00E00
localization (GO:0051179)	288	5	2.42	+	2.06	9.16E-02	1.00E00
response to chemical (GO:0042221)	61	1	.51	+	1.95	4.08E-01	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	66	1	.56	+	1.80	4.33E-01	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	69	1	.58	+	1.72	4.47E-01	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	139	2	1.17	+	1.71	3.30E-01	1.00E00
purine nucleotide metabolic process (GO:0006163)	70	1	.59	+	1.70	4.52E-01	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	282	4	2.37	+	1.69	2.94E-01	1.00E00
purine-containing compound metabolic process (GO:0072521)	72	1	.61	+	1.65	4.61E-01	1.00E00
cellular response to stress (GO:0033554)	72	1	.61	+	1.65	4.61E-01	1.00E00
phosphorus metabolic process (GO:0006793)	291	4	2.45	+	1.63	3.04E-01	1.00E00
ribonucleotide metabolic process (GO:0009259)	80	1	.67	+	1.49	4.97E-01	1.00E00
organophosphate metabolic process (GO:0019637)	163	2	1.37	+	1.46	6.46E-01	1.00E00
cellular process (GO:0009987)	1486	18	12.50	+	1.44	5.79E-02	1.00E00
ribose phosphate metabolic process (GO:0019693)	83	1	.70	+	1.43	5.09E-01	1.00E00
proteolysis (GO:0006508)	94	1	.79	+	1.26	5.54E-01	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	385	4	3.24	+	1.24	5.59E-01	1.00E00
biological_process (GO:0008150)	1734	18	14.58	+	1.23	2.63E-01	1.00E00
response to stress (GO:0006950)	108	1	.91	+	1.10	6.04E-01	1.00E00
oxoacid metabolic process (GO:0043436)	233	2	1.96	+	1.02	1.00E00	1.00E00
carbohydrate metabolic process (GO:0005975)	117	1	.98	+	1.02	1.00E00	1.00E00
generation of precursor metabolites and energy (GO:0006091)	118	1	.99	+	1.01	1.00E00	1.00E00
organic acid metabolic process (GO:0006082)	236	2	1.98	+	1.01	1.00E00	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	479	4	4.03	-	.99	1.00E00	1.00E00
heterocycle metabolic process (GO:0046483)	492	4	4.14	-	.97	1.00E00	1.00E00
nucleic acid metabolic process (GO:0090304)	249	2	2.09	-	.95	1.00E00	1.00E00
organic cyclic compound metabolic process (GO:1901360)	507	4	4.26	-	.94	1.00E00	1.00E00
cellular protein modification process (GO:0006464)	129	1	1.08	-	.92	1.00E00	1.00E00
protein modification process (GO:0036211)	129	1	1.08	-	.92	1.00E00	1.00E00
small molecule metabolic process (GO:0044281)	415	3	3.49	-	.86	1.00E00	1.00E00
metabolic process (GO:0008152)	1285	9	10.81	-	.83	5.66E-01	1.00E00
cellular metabolic process (GO:0044237)	1143	8	9.61	-	.83	6.92E-01	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	587	4	4.94	-	.81	8.07E-01	1.00E00
macromolecule metabolic process (GO:0043170)	608	4	5.11	-	.78	8.07E-01	1.00E00
nitrogen compound metabolic process (GO:0006807)	916	6	7.70	-	.78	6.73E-01	1.00E00
cellular macromolecule metabolic process (GO:0044260)	466	3	3.92	-	.77	7.89E-01	1.00E00
Unclassified (UNCLASSIFIED)	1714	11	14.42	-	.76	2.63E-01	1.00E00
primary metabolic process (GO:0044238)	939	6	7.90	-	.76	5.33E-01	1.00E00
organic substance metabolic process (GO:0071704)	1099	7	9.24	-	.76	4.29E-01	1.00E00
protein metabolic process (GO:0019538)	333	2	2.80	-	.71	1.00E00	1.00E00
macromolecule modification (GO:0043412)	187	1	1.57	-	.64	1.00E00	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	195	1	1.64	-	.61	1.00E00	1.00E00
gene expression (GO:0010467)	211	1	1.77	-	.56	1.00E00	1.00E00
carboxylic acid metabolic process (GO:0019752)	225	1	1.89	-	.53	1.00E00	1.00E00
organonitrogen compound metabolic process (GO:1901564)	677	3	5.69	-	.53	2.49E-01	1.00E00
cellular protein metabolic process (GO:0044267)	250	1	2.10	-	.48	7.19E-01	1.00E00
cellular biosynthetic process (GO:0044249)	536	1	4.51	-	.22	7.40E-02	1.00E00
biosynthetic process (GO:0009058)	573	1	4.82	-	.21	7.39E-02	1.00E00
tRNA wobble adenosine to inosine editing (GO:0002100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
prosthetic group metabolic process (GO:0051189)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to organic substance (GO:0071310)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular component macromolecule biosynthetic process (GO:0070589)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
vitamin transport (GO:0051180)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of nitrogen utilization (GO:0006808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide biosynthetic process (GO:0009190)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
calcium ion transmembrane transport (GO:0070588)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superoxide metabolic process (GO:0006801)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
reductive pentose-phosphate cycle (GO:0019253)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
single-species biofilm formation (GO:0044010)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside diphosphate biosynthetic process (GO:0009188)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-pyrromethane cofactor linkage (GO:0018160)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
cell redox homeostasis (GO:0045454)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
cadmium ion transmembrane transport (GO:0070574)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polysaccharide catabolic process (GO:0000272)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polysaccharide biosynthetic process (GO:0000271)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
methylglyoxal biosynthetic process (GO:0019242)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidoglycan metabolic process (GO:0000270)	33	0	.28	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
citrulline biosynthetic process (GO:0019240)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thioester biosynthetic process (GO:0035384)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
thioester metabolic process (GO:0035383)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-S-carbamoyl-L-cysteine dehydration (GO:0046892)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of ion transport (GO:0043271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate catabolic process (GO:0009175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
ketone catabolic process (GO:0042182)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein maturation by iron-sulfur cluster transfer (GO:0097428)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ketone biosynthetic process (GO:0042181)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
cellular ketone metabolic process (GO:0042180)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
clearance of foreign intracellular DNA (GO:0044355)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
endonucleolytic cleavage involved in tRNA processing (GO:1905267)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ion transport (GO:0043269)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular oxidant detoxification (GO:0098869)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleotide biosynthetic process (GO:0009165)	80	0	.67	-	 < 0.01	1.00E00	1.00E00
nucleoside catabolic process (GO:0009164)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside biosynthetic process (GO:0009163)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
regulation of sporulation resulting in formation of a cellular spore (GO:0042173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
ceramide catabolic process (GO:0046514)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide biosynthetic process (GO:0046513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
quinolinate metabolic process (GO:0046874)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoside monophosphate catabolic process (GO:0009158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heterocycle biosynthetic process (GO:0018130)	230	0	1.93	-	 < 0.01	2.57E-01	1.00E00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	32	0	.27	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide catabolic process (GO:0009155)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	48	0	.40	-	 < 0.01	1.00E00	1.00E00
heme metabolic process (GO:0042168)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
purine deoxyribonucleotide metabolic process (GO:0009151)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heme catabolic process (GO:0042167)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory electron transport chain (GO:0022904)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
electron transport chain (GO:0022900)	71	0	.60	-	 < 0.01	1.00E00	1.00E00
sulfolipid biosynthetic process (GO:0046506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfolipid metabolic process (GO:0046505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
protoporphyrinogen IX metabolic process (GO:0046501)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine metabolic process (GO:0046500)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate catabolic process (GO:0009146)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	14	0	.12	-	 < 0.01	1.00E00	1.00E00
protein import (GO:0017038)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
lipoprotein biosynthetic process (GO:0042158)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	19	0	.16	-	 < 0.01	1.00E00	1.00E00
lipoprotein metabolic process (GO:0042157)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA 5'-leader removal (GO:0001682)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arabinose metabolic process (GO:0019566)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycerol catabolic process (GO:0019563)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
