well,cycle,ROX,SYBR,row,column,sample_id,replicate,sample_dilution,dilution_factor,sample_class,channel,template_vol,final_vol
2,16,155925.9375,234979.5938,A,2,200206_2_7,1,1,10,sample,5,5,20
2,17,154309,328983.5,A,2,200206_2_7,1,1,10,sample,5,5,20
2,18,151826.4688,447714.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,19,148808.5156,571003.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,20,145848.625,676228.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,21,143370.625,752368.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,22,141637.9219,801347.1875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,23,140399.5156,831833.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,24,139552.9062,850482.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,25,138927.0312,862482.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,26,138578.0781,869764.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,27,138381.2812,874833.1875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,28,138107.2969,878290.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,29,138003.5625,880500.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,30,137851.4844,881454,A,2,200206_2_7,1,1,10,sample,5,5,20
2,31,137982.3594,881472.4375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,32,137976.6719,881455.6875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,33,138030.3125,881183.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,34,137985.9844,880668.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,35,138031.1406,879640.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,36,138134.75,878047.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,37,138149.2031,876429.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,38,138138.0625,875027.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,39,138097.4375,873777.5625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,40,138191.4062,872086.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,41,143859.9062,813962.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,42,144303.9688,786942.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,43,144701.1094,764878.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,44,145033.5938,748490.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,45,145327.0938,735963.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,46,145538.8906,725877.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,47,145640.25,717751.5,A,2,200206_2_7,1,1,10,sample,5,5,20
2,48,145788.6875,710934.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,49,146047.6719,704739.5,A,2,200206_2_7,1,1,10,sample,5,5,20
2,50,146339.25,698943.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,51,146449.9531,693383.9375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,52,146559.2812,687999.875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,53,146711.7812,682647.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,54,146914.4688,677280.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,55,147072.7188,671982.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,56,147220.375,666736.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,57,147387.0156,662112.5625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,58,147616.8438,657378.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,59,147892.5469,652421.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,60,148142.3594,647173.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,61,148290.3125,642442.4375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,62,148457.5469,637531,A,2,200206_2_7,1,1,10,sample,5,5,20
2,63,148595.0312,632591.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,64,148773.6719,627638.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,65,148955.4375,622939.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,66,149166.25,618109.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,67,149349.1719,613023,A,2,200206_2_7,1,1,10,sample,5,5,20
2,68,149384.4844,608263.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,69,149593.875,603328.875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,70,149841.6406,598587.4375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,71,150048.4375,593592.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,72,150088.7812,588896.875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,73,150110.0469,584355.3125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,74,150239.4062,579474.1875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,75,150272.6406,574589.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,76,150392.6875,569605.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,77,150525.5,564847.9375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,78,150735.9531,559831.125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,79,150837.2656,554676.5,A,2,200206_2_7,1,1,10,sample,5,5,20
2,80,150845.4219,549940.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,81,150894.0938,545105.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,82,150933.5,540408.875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,83,151055.0312,535438.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,84,151035.3125,530779.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,85,150978.7344,526158.5625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,86,151044.4062,521528.0938,A,2,200206_2_7,1,1,10,sample,5,5,20
2,87,151231.1406,516704.4062,A,2,200206_2_7,1,1,10,sample,5,5,20
2,88,151324.125,511793.9375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,89,151279.2656,507052.875,A,2,200206_2_7,1,1,10,sample,5,5,20
2,90,151274.0312,502515.5312,A,2,200206_2_7,1,1,10,sample,5,5,20
2,91,151406.875,498049.4375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,92,151557.9688,493585.9375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,93,151579.625,489292.4062,A,2,200206_2_7,1,1,10,sample,5,5,20
2,94,151544.8125,484765.5312,A,2,200206_2_7,1,1,10,sample,5,5,20
2,95,151616.5781,479937.5312,A,2,200206_2_7,1,1,10,sample,5,5,20
2,96,151727.0781,475206.7812,A,2,200206_2_7,1,1,10,sample,5,5,20
2,97,151792.7031,470629.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,98,151847.7812,465761.5625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,99,151883.0156,460756.7812,A,2,200206_2_7,1,1,10,sample,5,5,20
2,100,151845.3438,456049.8125,A,2,200206_2_7,1,1,10,sample,5,5,20
2,101,151829.4219,451469.4062,A,2,200206_2_7,1,1,10,sample,5,5,20
2,102,151886.625,446561.1562,A,2,200206_2_7,1,1,10,sample,5,5,20
2,103,151877.9375,441703.75,A,2,200206_2_7,1,1,10,sample,5,5,20
2,104,151972.1875,436887.6562,A,2,200206_2_7,1,1,10,sample,5,5,20
2,105,151968.0938,432188.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,106,152090.6406,427224.7812,A,2,200206_2_7,1,1,10,sample,5,5,20
2,107,152122.1875,422367.5,A,2,200206_2_7,1,1,10,sample,5,5,20
2,108,152292.5312,417036,A,2,200206_2_7,1,1,10,sample,5,5,20
2,109,152431.2344,410484.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,110,152718.125,401668.5312,A,2,200206_2_7,1,1,10,sample,5,5,20
2,111,153252.2031,388049.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,112,154154.2812,366013.7188,A,2,200206_2_7,1,1,10,sample,5,5,20
2,113,156084.9375,328979.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,114,158671.9844,268288.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,115,159500.3125,195621.625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,116,157738.4219,133945.375,A,2,200206_2_7,1,1,10,sample,5,5,20
2,117,154510.4219,100006.8516,A,2,200206_2_7,1,1,10,sample,5,5,20
2,118,153120.7344,84887.0625,A,2,200206_2_7,1,1,10,sample,5,5,20
2,119,153188.9688,77862.3672,A,2,200206_2_7,1,1,10,sample,5,5,20
2,120,154053.5781,72619.4219,A,2,200206_2_7,1,1,10,sample,5,5,20
2,121,154287.9219,68120.0234,A,2,200206_2_7,1,1,10,sample,5,5,20
2,122,154494.4531,63613.9609,A,2,200206_2_7,1,1,10,sample,5,5,20
2,123,154640.25,58525.1406,A,2,200206_2_7,1,1,10,sample,5,5,20
2,124,154505.4219,54229.2656,A,2,200206_2_7,1,1,10,sample,5,5,20
2,125,154197.3125,51813.8945,A,2,200206_2_7,1,1,10,sample,5,5,20
2,126,153903.9219,50883.7891,A,2,200206_2_7,1,1,10,sample,5,5,20
2,127,153815.6094,50170.6797,A,2,200206_2_7,1,1,10,sample,5,5,20
2,128,153588.8438,49605.3789,A,2,200206_2_7,1,1,10,sample,5,5,20
2,129,153439.9219,48894.8555,A,2,200206_2_7,1,1,10,sample,5,5,20
2,130,153269.625,47870.1523,A,2,200206_2_7,1,1,10,sample,5,5,20
2,131,153097.4844,46490.9688,A,2,200206_2_7,1,1,10,sample,5,5,20
2,132,152862.7656,44971.3477,A,2,200206_2_7,1,1,10,sample,5,5,20
2,133,152651.6875,43509.9922,A,2,200206_2_7,1,1,10,sample,5,5,20
2,134,152448.7031,41849.5469,A,2,200206_2_7,1,1,10,sample,5,5,20
2,135,152224.4219,40132.5234,A,2,200206_2_7,1,1,10,sample,5,5,20
2,136,152134.125,38229.8008,A,2,200206_2_7,1,1,10,sample,5,5,20
2,137,152030.4531,36632.25,A,2,200206_2_7,1,1,10,sample,5,5,20
2,138,151808.1406,35229.3398,A,2,200206_2_7,1,1,10,sample,5,5,20
2,139,151576.4688,34299.6055,A,2,200206_2_7,1,1,10,sample,5,5,20
2,140,151436.2344,33583.5938,A,2,200206_2_7,1,1,10,sample,5,5,20
2,141,151233.625,33098.1367,A,2,200206_2_7,1,1,10,sample,5,5,20
2,142,150825.6562,32308.2969,A,2,200206_2_7,1,1,10,sample,5,5,20
2,143,150306.9844,31989.1348,A,2,200206_2_7,1,1,10,sample,5,5,20
2,144,149773.7344,32487.8008,A,2,200206_2_7,1,1,10,sample,5,5,20
3,1,164193.2344,107922.1953,A,3,200206_2_5,1,1,10,sample,7,5,20
3,2,163551.1719,108052.6406,A,3,200206_2_5,1,1,10,sample,7,5,20
3,3,163173.6875,108166.3281,A,3,200206_2_5,1,1,10,sample,7,5,20
3,4,163212.6719,108343.0156,A,3,200206_2_5,1,1,10,sample,7,5,20
3,5,163432.0312,108577.1406,A,3,200206_2_5,1,1,10,sample,7,5,20
3,6,163644.9062,108911.1562,A,3,200206_2_5,1,1,10,sample,7,5,20
3,7,163752.8906,109331.5547,A,3,200206_2_5,1,1,10,sample,7,5,20
3,8,163895.9531,110018.8906,A,3,200206_2_5,1,1,10,sample,7,5,20
3,9,164102.0938,111070.0156,A,3,200206_2_5,1,1,10,sample,7,5,20
3,10,164304.0938,113205.2734,A,3,200206_2_5,1,1,10,sample,7,5,20
3,11,164360.3438,117368.4062,A,3,200206_2_5,1,1,10,sample,7,5,20
3,12,164183.3125,125521.2656,A,3,200206_2_5,1,1,10,sample,7,5,20
3,13,163870.9219,140700.75,A,3,200206_2_5,1,1,10,sample,7,5,20
3,14,163421.2344,168871.375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,15,162708.3906,218273.0625,A,3,200206_2_5,1,1,10,sample,7,5,20
3,16,161257.0469,297616.625,A,3,200206_2_5,1,1,10,sample,7,5,20
3,17,158933.0156,408538.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,18,155830.25,537750.8125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,19,152578.7812,661225.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,20,149598,758902.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,21,147258.8438,825416.5625,A,3,200206_2_5,1,1,10,sample,7,5,20
3,22,145627.0312,866546,A,3,200206_2_5,1,1,10,sample,7,5,20
3,23,144691.4375,890797.75,A,3,200206_2_5,1,1,10,sample,7,5,20
3,24,144125.8594,905331,A,3,200206_2_5,1,1,10,sample,7,5,20
3,25,143579.1094,914513.625,A,3,200206_2_5,1,1,10,sample,7,5,20
3,26,143127.3594,920707.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,27,142909.6094,924567.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,28,142852.8125,926988.3125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,29,142755.2656,927979.125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,30,142666.0312,928192.3125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,31,142573.3438,928040.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,32,142516.0781,927727.1875,A,3,200206_2_5,1,1,10,sample,7,5,20
3,33,142560.5781,926779.375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,34,142702.9219,925163.4375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,35,142769.2969,923524.25,A,3,200206_2_5,1,1,10,sample,7,5,20
3,36,142738.8125,921632.75,A,3,200206_2_5,1,1,10,sample,7,5,20
3,37,142693.5625,920236.375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,38,142681.6875,918433.1875,A,3,200206_2_5,1,1,10,sample,7,5,20
3,39,142754.25,916345.0625,A,3,200206_2_5,1,1,10,sample,7,5,20
3,40,142914.9531,913801.9375,A,3,200206_2_5,1,1,10,sample,7,5,20
3,41,148482.4688,854410.125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,42,149233.75,825675.75,A,3,200206_2_5,1,1,10,sample,7,5,20
3,43,149636.4688,802367.3125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,44,149798.3906,785390.875,A,3,200206_2_5,1,1,10,sample,7,5,20
3,45,150075.875,772170.125,A,3,200206_2_5,1,1,10,sample,7,5,20
3,46,150445.4219,761225.875,A,3,200206_2_5,1,1,10,sample,7,5,20
